工厂编码,物料编码,M+1月预测需求量,M+2月预测需求量,M+3月预测需求量
2000,1000,0.0,0.09,0.0
2000,1001,11.87,12.08,13.39
2000,1002,0.11,0.05,0.19
2000,1003,69.49,67.52,67.61
2000,1004,0.0,0.08,0.0
2000,1005,0.0,0.0,0.0
2000,1006,0.0,0.0,0.0
2000,1007,0.0,0.29,0.01
2000,1008,0.0,0.0,0.07
2000,1009,0.32,0.0,0.04
2000,1010,4.93,4.65,4.1
2000,1011,0.24,0.14,0.0
2000,1012,0.28,0.02,0.0
2000,1013,0.01,0.02,0.0
2000,1014,5.78,4.85,4.96
2000,1015,0.0,0.0,0.0
2000,1016,0.0,0.0,0.01
2000,1017,0.0,0.0,0.08
2000,1018,0.0,0.15,0.0
2000,1019,0.0,0.0,0.21
2000,1020,0.23,0.2,0.0
2000,1021,1.08,1.28,0.91
2000,1022,0.06,0.0,0.0
2000,1023,0.0,0.21,0.03
2000,1024,0.0,0.08,0.22
2000,1025,0.26,0.14,0.33
2000,1026,0.03,0.0,0.0
2000,1027,5.2,4.78,4.41
2000,1028,0.28,0.0,0.0
2000,1029,26.46,26.15,26.51
2000,1030,0.0,0.28,0.0
2000,1031,95.69,95.52,96.97
2000,1032,0.0,0.0,0.16
2000,1033,0.18,0.02,0.09
2000,1034,49.97,50.29,51.82
2000,1035,0.28,0.0,0.0
2000,1036,0.0,0.21,0.0
2000,1037,37.5,36.21,36.9
2000,1038,24.15,24.07,23.86
2000,1039,0.24,0.05,0.25
2000,1040,4.0,3.8,3.87
2000,1041,0.0,0.0,0.0
2000,1042,19.27,19.19,18.96
2000,1043,0.12,0.0,0.0
2000,1044,14.83,14.41,14.67
2000,1045,8.41,8.41,7.82
2000,1046,0.0,0.02,0.0
2000,1047,0.3,0.39,0.03
2000,1048,0.0,0.03,0.07
2000,1049,1.0,0.37,0.97
2000,1050,0.11,0.0,0.0
2000,1051,25.99,24.7,25.64
2000,1052,15.88,16.6,15.36
2000,1053,0.0,0.0,0.0
2000,1054,108.37,103.35,97.5
2000,1055,0.3,0.11,0.05
2000,1056,0.45,0.0,0.12
2000,1057,0.02,0.1,0.0
2000,1058,0.03,0.0,0.0
2000,1059,0.12,0.11,0.18
2000,1060,0.0,0.0,0.0
2000,1061,3.27,2.1,0.53
2000,1062,0.0,0.0,0.1
2000,1063,0.0,0.1,0.31
2000,1064,0.0,0.12,0.0
2000,1065,0.0,0.0,0.0
2000,1066,0.0,0.0,0.0
2000,1067,1.79,1.43,0.79
2000,1068,0.0,0.0,0.0
2000,1069,0.07,0.0,0.0
2000,1070,0.0,0.0,0.22
2000,1071,0.13,0.01,0.23
